accX,accY,accZ,gX,gY,gZ
-14848,-3712,-2764,1123,-2551,-55
-15300,-4556,-2876,1535,-961,-33
-16040,-5612,-2996,1443,391,594
-16120,-5412,-3004,966,-531,-8
-15616,-5212,-2492,1060,-2901,-587
-15968,-4912,-2780,634,-2478,-1114
-15136,-5820,-2052,660,-983,-506
-15800,-5152,-1904,1158,-782,-689
-15932,-4288,-1588,1295,-2701,-1515
-14160,-4588,-868,1795,-1533,-789
-14732,-4280,-2688,1982,-163,-1153
-15836,-4216,-3348,1265,-308,-1258
-15632,-4100,-1940,810,-1656,-1025
-14796,-4276,-1912,1103,44,-851
-14964,-3380,-2752,449,497,-415
-14832,-4036,-2820,167,1145,-430
-14752,-3932,-2460,-171,653,-178
-14684,-4272,-2344,-165,951,116
-14260,-4152,-2772,-470,1102,-148
-14960,-4152,-2364,-653,1359,-159
-15796,-4464,-1912,-513,1182,-233
-16036,-4548,-1960,-419,542,-10
-15280,-4648,-2500,-450,568,-60
-15060,-4412,-2340,-478,487,-96
-15576,-4472,-2312,-275,35,-35
-15220,-4376,-2272,-207,-404,-64
-14736,-4380,-2552,-269,-299,-41
-14304,-4184,-2448,-522,-40,-418
-15072,-4312,-2060,-417,91,-471
-15184,-4436,-2364,-407,-295,-297
-14524,-4280,-2372,-663,-102,-370
-14588,-4232,-2536,-1020,-53,-376
-14980,-4340,-2476,-1217,111,-315
-14824,-4612,-2284,-1345,68,4
-14536,-4352,-2996,-1804,-434,-64
-14196,-4152,-3416,-2544,-89,-212
-14504,-4436,-2668,-2951,-104,-51
-14692,-4560,-1096,-2580,-22,73
-14972,-4620,-1192,-1793,342,294
-14992,-4528,-1708,-1202,710,343
-14940,-4816,-2244,-1150,643,400
-14892,-4516,-2468,-960,863,475
-15076,-4576,-2904,-1035,1057,257
-15700,-4552,-2308,-1062,747,233
-16024,-4508,-2104,-761,282,200
-15736,-4468,-2796,-524,28,294
-15220,-4516,-2968,-606,-33,63
-15100,-4644,-2340,-668,264,15
-15264,-4748,-1860,-486,-106,-42
-15028,-4472,-2328,-429,-382,-199
-14900,-4404,-2748,-416,20,-7
-14556,-4268,-2516,-652,401,-98
-15108,-4408,-2312,-812,689,-44
-15216,-4092,-2592,-927,616,119
-15000,-4012,-2952,-1171,619,-41
-15004,-4160,-2984,-1570,680,-245
-15292,-4296,-1960,-1466,525,-527
-15152,-4304,-2276,-1034,219,-524
-14888,-4232,-2336,-928,-23,-457
-15200,-4440,-2232,-513,-133,-497
-15188,-4656,-2448,-311,-51,-215
-14828,-4304,-2632,-205,216,-147
-15172,-4216,-2600,-271,153,-76
-15368,-4252,-2604,-337,-148,14
-15260,-4432,-2488,-363,-387,198
-14556,-4104,-2564,-538,-323,63
-14744,-4224,-2660,-591,126,220
